old_path,proposed_relative_path,category,subject,variant,size,index,confidence,reason
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/Idle/FemalebakerIdle1.png","assets/tilesets/character_pack/character/character_cp_femalebakeridle1_32x32_0001.png","character","cp","femalebakeridle1","32x32","0001","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/Idle/FemalebakerIdle2.png","assets/tilesets/character_pack/character/character_cp_femalebakeridle2_32x32_0002.png","character","cp","femalebakeridle2","32x32","0002","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/Idle/FemalebakerIdle3.png","assets/tilesets/character_pack/character/character_cp_femalebakeridle3_32x32_0003.png","character","cp","femalebakeridle3","32x32","0003","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/Idle/FemalebakerIdle4.png","assets/tilesets/character_pack/character/character_cp_femalebakeridle4_32x32_0004.png","character","cp","femalebakeridle4","32x32","0004","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast1.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast1_32x32_0005.png","character","cp","femalebakerwalkingeast1","32x32","0005","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast2.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast2_32x32_0006.png","character","cp","femalebakerwalkingeast2","32x32","0006","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast3.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast3_32x32_0007.png","character","cp","femalebakerwalkingeast3","32x32","0007","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast4.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast4_32x32_0008.png","character","cp","femalebakerwalkingeast4","32x32","0008","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast5.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast5_32x32_0009.png","character","cp","femalebakerwalkingeast5","32x32","0009","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast6.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast6_32x32_0010.png","character","cp","femalebakerwalkingeast6","32x32","0010","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast7.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast7_32x32_0011.png","character","cp","femalebakerwalkingeast7","32x32","0011","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingEast/Femalebakerwalkingeast8.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingeast8_32x32_0012.png","character","cp","femalebakerwalkingeast8","32x32","0012","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth1.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth1_32x32_0013.png","character","cp","femalebakerwalkingnorth1","32x32","0013","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth2.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth2_32x32_0014.png","character","cp","femalebakerwalkingnorth2","32x32","0014","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth3.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth3_32x32_0015.png","character","cp","femalebakerwalkingnorth3","32x32","0015","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth4.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth4_32x32_0016.png","character","cp","femalebakerwalkingnorth4","32x32","0016","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth5.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth5_32x32_0017.png","character","cp","femalebakerwalkingnorth5","32x32","0017","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth6.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth6_32x32_0018.png","character","cp","femalebakerwalkingnorth6","32x32","0018","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth7.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth7_32x32_0019.png","character","cp","femalebakerwalkingnorth7","32x32","0019","high","pack-default"
"assets/references/GuttyKreum_Characterpackv8/Blackoutlinecharacters/FemaleBaker/WalkingNorth/Femalebakerwalkingnorth8.png","assets/tilesets/character_pack/character/character_cp_femalebakerwalkingnorth8_32x32_0020.png","character","cp","femalebakerwalkingnorth8","32x32","0020","high","pack-default"
