path,category,pack_code,source_id,suggested_variant
assets/tilesets/train_station/station/station_ts_gk_ts_001_32x32_1331.png,station,ts,001,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_002_32x32_1332.png,station,ts,002,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_003_32x32_1333.png,station,ts,003,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_040_32x32_1370.png,station,ts,040,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_041_32x32_1371.png,station,ts,041,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_042_32x32_1372.png,station,ts,042,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_049_32x32_1379.png,station,ts,049,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_052_32x32_1382.png,station,ts,052,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_079_32x32_1409.png,station,ts,079,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_080_32x32_1410.png,station,ts,080,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_081_32x32_1411.png,station,ts,081,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_082_32x32_1412.png,station,ts,082,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_090_32x32_1420.png,station,ts,090,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_091_32x32_1421.png,station,ts,091,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_104_32x32_1434.png,station,ts,104,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_105_32x32_1435.png,station,ts,105,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_106_32x32_1436.png,station,ts,106,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_113_32x32_1443.png,station,ts,113,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_114_32x32_1444.png,station,ts,114,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_116_32x32_1446.png,station,ts,116,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_118_32x32_1448.png,station,ts,118,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_119_32x32_1449.png,station,ts,119,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_122_32x32_1452.png,station,ts,122,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_123_32x32_1453.png,station,ts,123,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_124_32x32_1454.png,station,ts,124,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_125_32x32_1455.png,station,ts,125,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_147_32x32_1477.png,station,ts,147,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_148_32x32_1478.png,station,ts,148,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_149_32x32_1479.png,station,ts,149,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_150_32x32_1480.png,station,ts,150,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_206_32x32_1536.png,station,ts,206,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_207_32x32_1537.png,station,ts,207,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_208_32x32_1538.png,station,ts,208,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_209_32x32_1539.png,station,ts,209,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_210_32x32_1540.png,station,ts,210,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_211_32x32_1541.png,station,ts,211,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_227_32x32_1557.png,station,ts,227,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_248_32x32_1578.png,station,ts,248,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_249_32x32_1579.png,station,ts,249,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_250_32x32_1580.png,station,ts,250,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_251_32x32_1581.png,station,ts,251,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_267_32x32_1597.png,station,ts,267,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_282_32x32_1612.png,station,ts,282,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_283_32x32_1613.png,station,ts,283,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_284_32x32_1614.png,station,ts,284,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_303_32x32_1633.png,station,ts,303,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_310_32x32_1640.png,station,ts,310,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_350_32x32_1680.png,station,ts,350,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_359_32x32_1689.png,station,ts,359,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_360_32x32_1690.png,station,ts,360,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_363_32x32_1693.png,station,ts,363,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_369_32x32_1699.png,station,ts,369,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_376_32x32_1706.png,station,ts,376,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_379_32x32_1709.png,station,ts,379,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_382_32x32_1712.png,station,ts,382,station_cluster_01
assets/tilesets/train_station/station/station_ts_gk_ts_060_32x32_1390.png,station,ts,060,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_061_32x32_1391.png,station,ts,061,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_062_32x32_1392.png,station,ts,062,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_064_32x32_1394.png,station,ts,064,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_065_32x32_1395.png,station,ts,065,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_102_32x32_1432.png,station,ts,102,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_103_32x32_1433.png,station,ts,103,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_107_32x32_1437.png,station,ts,107,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_145_32x32_1475.png,station,ts,145,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_195_32x32_1525.png,station,ts,195,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_196_32x32_1526.png,station,ts,196,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_228_32x32_1558.png,station,ts,228,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_229_32x32_1559.png,station,ts,229,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_230_32x32_1560.png,station,ts,230,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_232_32x32_1562.png,station,ts,232,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_233_32x32_1563.png,station,ts,233,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_265_32x32_1595.png,station,ts,265,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_266_32x32_1596.png,station,ts,266,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_300_32x32_1630.png,station,ts,300,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_301_32x32_1631.png,station,ts,301,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_302_32x32_1632.png,station,ts,302,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_323_32x32_1653.png,station,ts,323,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_324_32x32_1654.png,station,ts,324,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_325_32x32_1655.png,station,ts,325,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_326_32x32_1656.png,station,ts,326,station_cluster_02
assets/tilesets/train_station/station/station_ts_gk_ts_327_32x32_1657.png,station,ts,327,station_cluster_02
